27, 8, pa1-unknown-h-output1.txt
  707.28,   568.20,   220.13
  705.46,   569.32,   329.95
  705.08,   563.35,   446.81
  711.44,   708.00,   218.13
  705.63,   699.28,   333.73
  702.55,   687.92,   449.77
  451.28,   457.03,   440.29
  453.37,   456.15,   566.54
  450.18,   449.48,   696.92
  447.98,   583.96,   446.64
  446.30,   584.20,   569.13
  441.13,   580.16,   694.20
  439.33,   705.34,   458.46
  439.03,   707.70,   579.68
  438.57,   708.25,   696.98
  573.75,   455.76,   440.60
  579.35,   452.31,   571.11
  583.64,   449.24,   704.94
  569.67,   581.21,   444.29
  571.09,   580.44,   569.75
  574.44,   581.79,   701.82
  560.75,   705.34,   455.29
  565.95,   709.78,   579.34
  570.52,   712.89,   699.52
  699.37,   453.01,   442.25
  706.05,   448.85,   577.38
  717.36,   453.80,   717.92
  692.69,   576.62,   440.50
  699.22,   573.20,   571.54
  712.45,   579.80,   714.95
  685.16,   701.63,   447.90
  691.41,   698.99,   570.72
  701.32,   703.77,   697.99
